epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,46.5415,3.77437,3.15684,0.08451,0.00306,0.78951,0.01588,0.00273,3.65504,2.95858,0.11045,0.00991525,0.00330508,0.00991525,0.00330508,0.00991525,0.00330508,0.00991525,0.00330508
2,76.3102,3.69671,3.03496,0.08219,0.00167,0.44658,0.00132,0.00029,3.90894,inf,0.12339,0.0198495,0.00661651,0.0198495,0.00661651,0.0198495,0.00661651,0.0198495,0.00661651
3,108.246,3.50552,2.94185,0.07632,0.00095,0.25464,0.00062,0.00015,4.15703,inf,0.19503,0.0297178,0.00990594,0.0297178,0.00990594,0.0297178,0.00990594,0.0297178,0.00990594
4,139.864,3.13969,2.79497,0.06746,0.00723,0.41779,0.00622,0.00174,2.92802,inf,0.09476,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,170.607,2.48311,2.26159,0.0515,0.07875,0.31606,0.04383,0.01149,2.52548,inf,0.07241,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,200.352,2.07323,1.86073,0.04096,0.41061,0.48305,0.4107,0.17417,2.05648,3.1111,0.055,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,230.293,1.90793,1.67095,0.0368,0.63905,0.61868,0.63023,0.3144,1.75115,1.98016,0.04483,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,259.899,1.82266,1.5417,0.03469,0.69437,0.57134,0.66035,0.33992,1.75269,1.81418,0.04469,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,289.151,1.74959,1.43848,0.03323,0.73406,0.65451,0.72935,0.37178,1.77497,1.5297,0.04544,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,319.197,1.69505,1.37146,0.03192,0.75365,0.72618,0.76966,0.40537,1.67059,1.32195,0.04246,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,349.388,1.66294,1.32588,0.03108,0.79508,0.7174,0.80861,0.4591,1.53764,1.24825,0.03717,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
